lon,lat,course_id,track_seg_point_id,ele,dis
141.38388,38.44035,2,507,64.2,9.27178371
141.38392,38.44028,2,508,63,9.280311426
141.38395,38.44023,2,509,61.9,9.286454532
141.38397,38.44018,2,510,60.9,9.292280768
141.38399,38.44013,2,511,59.9,9.298107006
141.3839999,38.44008,2,512,59.1,9.303733222
141.38401,38.44003,2,513,58.2,9.309362135
141.38401,38.43997,2,514,57.5,9.31603384
141.38401,38.43995,2,515,57.3,9.318257741
141.38401,38.43991,2,516,56.8,9.322705545
141.38399,38.43978,2,517,56,9.337265478
141.38398,38.43977,2,518,56.2,9.338677918
141.38397,38.43968,2,519,55.5,9.348723302
141.38393,38.43951,2,520,54.8,9.367944813
141.38392,38.43941,2,521,54,9.379098379
141.3839,38.43934,2,522,53.9,9.387074564
141.38386,38.43922,2,523,53.9,9.40086527
141.38383,38.43915,2,524,54.2,9.409075774
141.38381,38.43912,2,525,54.5,9.41283904
141.38373,38.4389899,2,526,56,9.428896043
141.38372,38.4389899,2,527,56.3,9.429767001
141.38368,38.43891,2,528,56.8,9.439310126
141.38365,38.43882,2,529,56.9,9.449653159
141.38366,38.43876,2,530,56,9.456381474
141.38367,38.43871,2,531,55.2,9.462009034
141.3837,38.43866,2,532,53.7,9.468152164
141.38371,38.43865,2,533,53.3,9.469564612
141.38374,38.43862,2,534,52.1,9.473801957
141.38377,38.43861,2,535,51,9.476641609
141.3838199,38.43857,2,536,49,9.482860258
141.38389,38.43854,2,537,46.5,9.489817591
141.38398,38.4385199,2,538,43.5,9.497968674
141.3841,38.4385199,2,539,39.7,9.508420242
141.3842,38.43855,2,540,37,9.517750838
141.38428,38.43858,2,541,35.3,9.525475918
141.38431,38.43861,2,542,34.8,9.529713264
141.38435,38.43863,2,543,33.9,9.533846418
141.38439,38.43869,2,544,33.4,9.541372961
141.38441,38.43873,2,545,33.2,9.546149702
141.38442,38.43877,2,546,33.3,9.550681978
141.38443,38.43883,2,547,33.5,9.557410292
141.38444,38.43891,2,548,33.8,9.566348434
141.38444,38.43894,2,549,34.1,9.569684287
141.38446,38.43902,2,550,34.1,9.578748838
141.38449,38.43909,2,551,33.9,9.586959343
141.3845399,38.43922,2,552,33.9,9.602053905
141.38458,38.43926,2,553,33.5,9.607709055
141.38464,38.43936,2,554,33.5,9.619995295
141.38473,38.43948,2,555,33.2,9.635470756
141.3848,38.43958,2,556,33.1,9.648151953
141.38492,38.43973,2,557,32.9,9.667835185
141.38505,38.43988,2,558,33.8,9.687994375
141.3852,38.43998,2,559,35.2,9.705150042
141.3853,38.4400199,2,560,35.8,9.714924442
141.38538,38.44004,2,561,36,9.722241702
141.38561,38.4400199,2,562,35,9.742397755
141.38569,38.44001,2,563,34.6,9.749451749
141.38578,38.43998,2,564,34,9.757970566
141.38587,38.43994,2,565,34.5,9.766983077
141.38591,38.43991,2,566,35.4,9.771806426
141.38598,38.43985,2,567,36.9,9.780844157
141.38605,38.43977,2,568,38.5,9.791628443
141.38609,38.43967,2,569,39.3,9.803280923
141.38611,38.4396,2,570,39.7,9.811257108
141.38611,38.43951,2,571,39.4,9.821264665
141.3861,38.4394599,2,572,38.9,9.82690321
141.38609,38.43942,2,573,38.4,9.831424573
141.38608,38.4394,2,574,38,9.83381294
141.3860599,38.43936,2,575,37.2,9.838592857
141.3858799,38.43908,2,576,28.6,9.873451706
141.38581,38.43895,2,577,25.2,9.889136767
